ImageNumber,Image_Metadata_GeneSymbol,Image_Metadata_AlleleDesc
2731,EMPTY,
2691,EMPTY,
2732,EMPTY,
2224,EMPTY,
2683,EMPTY,
3031,EMPTY,
2229,EMPTY,
3221,EMPTY,
2733,EMPTY,
3231,EMPTY,
2534,EMPTY,
3211,EMPTY,
3032,EMPTY,
2409,EMPTY,
3222,EMPTY,
2734,EMPTY,
3212,EMPTY,
3033,EMPTY,
2684,EMPTY,
2685,EMPTY,
3223,EMPTY,
2735,EMPTY,
3213,EMPTY,
3224,EMPTY,
3220,EMPTY,
2736,EMPTY,
3225,EMPTY,
2686,EMPTY,
3025,EMPTY,
3205,EMPTY,
3214,EMPTY,
3210,EMPTY,
3226,EMPTY,
3026,EMPTY,
3206,EMPTY,
3215,EMPTY,
7141,EMPTY,
7251,EMPTY,
7142,EMPTY,
7252,EMPTY,
7466,EMPTY,
7371,EMPTY,
7143,EMPTY,
7253,EMPTY,
7631,EMPTY,
7462,EMPTY,
7144,EMPTY,
7363,EMPTY,
7368,EMPTY,
7254,EMPTY,
7632,EMPTY,
7463,EMPTY,
7364,EMPTY,
7145,EMPTY,
7464,EMPTY,
7146,EMPTY,
7624,EMPTY,
7365,EMPTY,
7246,EMPTY,
7465,EMPTY,
7881,EMPTY,
7921,EMPTY,
7625,EMPTY,
7366,EMPTY,
7917,EMPTY,
8101,EMPTY,
8171,YAP1,WT.1
7922,EMPTY,
7912,EMPTY,
8201,YAP1,WT.2
7882,EMPTY,
7883,EMPTY,
7626,EMPTY,
8341,EMPTY,
7884,EMPTY,
7913,EMPTY,
8102,EMPTY,
8202,YAP1,WT.2
7923,EMPTY,
7929,EMPTY,
8172,YAP1,WT.1
8342,EMPTY,
8481,EMPTY,
7914,EMPTY,
8203,YAP1,WT.2
8531,YAP1,WT.4
8103,EMPTY,
7924,EMPTY,
8511,YAP1,WT.3
8591,EMPTY,
8691,EMPTY,
8343,EMPTY,
8482,EMPTY,
7915,EMPTY,
8512,YAP1,WT.3
8532,YAP1,WT.4
8204,YAP1,WT.2
7925,EMPTY,
8104,EMPTY,
8205,YAP1,WT.2
8692,EMPTY,
8592,EMPTY,
8164,YAP1,WT.1
8811,WWTR1,WT
7248,EMPTY,
8483,EMPTY,
7916,EMPTY,
8841,EMPTY,
8871,EMPTY,
8513,YAP1,WT.3
7926,EMPTY,
8105,EMPTY,
8165,YAP1,WT.1
8593,EMPTY,
8693,EMPTY,
8971,EMPTY,
8484,EMPTY,
8524,YAP1,WT.4
8842,EMPTY,
8206,YAP1,WT.2
8166,YAP1,WT.1
8872,EMPTY,
8335,EMPTY,
8514,YAP1,WT.3
8589,EMPTY,
8594,EMPTY,
9141,EMPTY,
8694,EMPTY,
8525,YAP1,WT.4
8972,EMPTY,
8485,EMPTY,
9361,EMPTY,
9321,EMPTY,
8843,EMPTY,
8873,EMPTY,
9441,EMPTY,
8808,WWTR1,WT
8803,WWTR1,WT
8595,EMPTY,
9601,EMPTY,
8973,EMPTY,
9142,EMPTY,
8526,YAP1,WT.4
8486,EMPTY,
9362,EMPTY,
9641,EMPTY,
8844,EMPTY,
9322,EMPTY,
8874,EMPTY,
9442,EMPTY,
8805,WWTR1,WT
8686,EMPTY,
9602,EMPTY,
8804,WWTR1,WT
9143,EMPTY,
9642,EMPTY,
9363,EMPTY,
8845,EMPTY,
9323,EMPTY,
9433,EMPTY,
9443,EMPTY,
9941,EMPTY,
9603,EMPTY,
8965,EMPTY,
8846,EMPTY,
9364,EMPTY,
9144,EMPTY,
10141,EMPTY,
9643,EMPTY,
10121,EMPTY,
8866,EMPTY,
9444,EMPTY,
9324,EMPTY,
10131,EMPTY,
9434,EMPTY,
9942,EMPTY,
9600,EMPTY,
8966,EMPTY,
10117,EMPTY,
9647,EMPTY,
9365,EMPTY,
9644,EMPTY,
10122,EMPTY,
10132,EMPTY,
9445,EMPTY,
9943,EMPTY,
10601,EMPTY,
8170,YAP1,WT.1
9435,EMPTY,
9595,EMPTY,
10143,EMPTY,
9645,EMPTY,
9366,EMPTY,
10123,EMPTY,
10133,EMPTY,
9944,EMPTY,
9596,EMPTY,
10702,EMPTY,
10602,EMPTY,
9646,EMPTY,
10124,EMPTY,
10821,EMPTY,
10134,EMPTY,
10703,EMPTY,
10921,EMPTY,
9940,EMPTY,
9945,EMPTY,
10822,EMPTY,
11081,EMPTY,
10125,EMPTY,
10594,EMPTY,
11381,EMPTY,
10704,EMPTY,
10922,EMPTY,
11371,EMPTY,
10135,EMPTY,
11082,EMPTY,
10823,EMPTY,
11561,EMPTY,
10595,EMPTY,
10705,EMPTY,
10923,EMPTY,
11661,YAP1,WT.2
11621,YAP1,WT.1
11372,EMPTY,
11332,EMPTY,
11382,EMPTY,
10824,EMPTY,
11791,EMPTY,
11083,EMPTY,
11562,EMPTY,
10596,EMPTY,
10706,EMPTY,
11662,YAP1,WT.2
11941,EMPTY,
11384,EMPTY,
11622,YAP1,WT.1
10924,EMPTY,
11333,EMPTY,
11981,YAP1,WT.4
12051,EMPTY,
11383,EMPTY,
11373,EMPTY,
10709,EMPTY,
11793,EMPTY,
10825,EMPTY,
12301,EMPTY,
12261,WWTR1,WT
11378,EMPTY,
11792,EMPTY,
11084,EMPTY,
11663,YAP1,WT.2
11658,YAP1,WT.2
11563,EMPTY,
11942,EMPTY,
11623,YAP1,WT.1
10925,EMPTY,
11962,YAP1,WT.3
12046,EMPTY,
11967,YAP1,WT.3
11982,YAP1,WT.4
12421,EMPTY,
11374,EMPTY,
11334,EMPTY,
10826,EMPTY,
12142,EMPTY,
11664,YAP1,WT.2
12322,EMPTY,
11943,EMPTY,
12302,EMPTY,
12262,WWTR1,WT
11085,EMPTY,
11624,YAP1,WT.1
11564,EMPTY,
10926,EMPTY,
12427,EMPTY,
12043,EMPTY,
11375,EMPTY,
11385,EMPTY,
12422,EMPTY,
11963,YAP1,WT.3
11335,EMPTY,
11983,YAP1,WT.4
12323,EMPTY,
12143,EMPTY,
12303,EMPTY,
12263,WWTR1,WT
11794,EMPTY,
11086,EMPTY,
11798,EMPTY,
11935,EMPTY,
11625,YAP1,WT.1
12592,EMPTY,
12044,EMPTY,
11565,EMPTY,
12821,EMPTY,
12423,EMPTY,
11376,EMPTY,
11984,YAP1,WT.4
11964,YAP1,WT.3
12324,EMPTY,
12264,WWTR1,WT
12891,EMPTY,
11656,YAP1,WT.2
13051,EMPTY,
12897,EMPTY,
12429,EMPTY,
11626,YAP1,WT.1
11795,EMPTY,
12144,EMPTY,
12593,EMPTY,
12772,EMPTY,
12901,EMPTY,
12045,EMPTY,
12822,EMPTY,
12049,EMPTY,
12424,EMPTY,
11965,YAP1,WT.3
12325,EMPTY,
11985,YAP1,WT.4
13101,EMPTY,
12902,EMPTY,
12265,WWTR1,WT
12896,EMPTY,
12892,EMPTY,
11796,EMPTY,
12295,EMPTY,
12773,EMPTY,
12594,EMPTY,
12145,EMPTY,
12823,EMPTY,
12425,EMPTY,
12326,EMPTY,
13052,EMPTY,
12266,WWTR1,WT
13102,EMPTY,
12893,EMPTY,
12774,EMPTY,
12296,EMPTY,
13401,EMPTY,
12595,EMPTY,
